3424549348	[[492, 1]]	
5787695925	[[327, 1]]	[['PF02811', 5.6e-10, 46.4, 44, 147, 4, 120]]
1597924280	[[93, 1]]	[['PF02811', 1.5e-16, 67.8, 72, 162, 1, 92], ['PF07733', 5.9e-92, 314.6, 3, 247, 249, 502]]
779187016	[[361, 1]]	[['PF07733', 3.7e-69, 239.9, 1, 211, 106, 331]]
5994436453	[[132, 1]]	
1042331072	[[476, 1]]	[['PF07733', 2.5e-13, 56.9, 2, 63, 144, 206]]
5999576351	[[132, 1]]	[['PF07733', 4.7e-10, 46.2, 1, 54, 173, 226]]
165703806	[[361, 1]]	[['PF00929', 1e-30, 114.1, 1, 163, 60, 214], ['PF02811', 1.7e-07, 38.4, 35, 147, 168, 333], ['PF07733', 1.1e-15, 64.7, 2, 84, 461, 558]]
5678006735	[[132, 1]]	[['PF07733', 1.5e-68, 237.9, 2, 163, 107, 272]]
1502994440	[[360, 1]]	[['PF02811', 3e-48, 170.9, 17, 163, 1, 159], ['PF07733', 1e-43, 156.6, 1, 104, 277, 379]]
1448933630	[[4, 1]]	[['PF02811', 1.6e-33, 123.0, 1, 163, 9, 181], ['PF07733', 7.5e-100, 340.5, 2, 260, 301, 566], ['PF14579', 3.8e-20, 78.4, 1, 89, 823, 911], ['PF17657', 2.4e-57, 199.6, 1, 164, 569, 749]]
932271475	[[62, 1]]	
4479617087	[[356, 1]]	[['PF07733', 1.4e-45, 162.6, 1, 117, 161, 279]]
3372848347	[[72, 1]]	[['PF01336', 1.8e-05, 31.1, 1, 71, 1034, 1110], ['PF02811', 3.3e-46, 164.3, 1, 163, 16, 200], ['PF07733', 9.9e-93, 317.2, 2, 260, 319, 588], ['PF14579', 1.8e-24, 92.3, 1, 87, 843, 932], ['PF17657', 1.4e-53, 187.3, 1, 166, 591, 770]]
1400173052	[[63, 1]]	[['PF02811', 7e-25, 94.9, 74, 163, 1, 90], ['PF07733', 4e-41, 148.1, 1, 104, 208, 310]]
3144419318	[[132, 1]]	[['PF02811', 1.2e-23, 90.8, 2, 161, 10, 222], ['PF07733', 2.1e-53, 188.3, 2, 260, 358, 627], ['PF14579', 1.4e-10, 47.8, 1, 87, 887, 975], ['PF17657', 6.4e-29, 107.1, 12, 164, 630, 816]]
2644887350	[[422, 1]]	[['PF02811', 1.3e-61, 214.4, 1, 163, 5, 178], ['PF07733', 1.8e-70, 244.2, 1, 163, 296, 457]]
2604370718	[[361, 1]]	[['PF03717', 4.4e-44, 157.7, 4, 175, 155, 323]]
4624600631	[[356, 1]]	[['PF01336', 3e-08, 40.0, 5, 73, 995, 1072], ['PF02811', 3.7e-58, 203.1, 1, 163, 5, 179], ['PF07733', 1.7e-106, 362.3, 1, 260, 297, 554], ['PF14579', 4.5e-27, 100.7, 1, 89, 801, 890], ['PF17657', 3.5e-57, 199.0, 1, 162, 557, 720]]
297559721	[[132, 1]]	
3306961767	[[492, 1]]	[['PF03553', 3.3e-13, 56.3, 153, 231, 1, 85]]
2534129427	[[357, 3], [361, 1]]	[['PF01336', 2.9e-06, 33.7, 1, 72, 994, 1072], ['PF02811', 7.8e-55, 192.3, 1, 163, 5, 176], ['PF07733', 1.5e-102, 349.4, 2, 260, 294, 553], ['PF14579', 5e-26, 97.3, 1, 90, 799, 889], ['PF17657', 4.3e-55, 192.2, 1, 164, 556, 718]]
1290181199	[[63, 1]]	[['PF07733', 1.3e-58, 205.4, 2, 198, 296, 494]]
2769343942	[[361, 1]]	[['PF00929', 5.2e-33, 121.5, 5, 164, 1, 155], ['PF02811', 7.5e-11, 49.3, 69, 147, 140, 271]]
1440518722	[[63, 1]]	[['PF07733', 3.6e-59, 207.2, 2, 149, 129, 293]]
1481149691	[[63, 1]]	[['PF01336', 0.00017, 28.0, 3, 75, 1030, 1105], ['PF02811', 3e-25, 96.1, 2, 163, 49, 209], ['PF07733', 1.7e-70, 244.3, 1, 260, 327, 602], ['PF14579', 2.4e-14, 59.8, 1, 90, 844, 947], ['PF17657', 2.6e-50, 176.7, 1, 165, 605, 771]]
1136424594	[[361, 3]]	[['PF02811', 2.6e-30, 112.6, 1, 161, 133, 305], ['PF07733', 1.7e-18, 73.9, 3, 85, 431, 560]]
6169014957	[[106, 1]]	[['PF00171', 5.2e-06, 32.0, 59, 150, 1, 103], ['PF02811', 5.2e-06, 33.5, 53, 163, 32, 211]]
3311106053	[[492, 1]]	[['PF07733', 1.6e-06, 34.6, 5, 80, 127, 211]]
