1	3387826881/357-470
1	2798488031/79-192
1	1244895072/177-290
1	646562404/173-286
1	1376172635/62-175
1	3443438026/124-237
1	885575014/349-462
1	193575082/63-176
1	3965285573/363-476
1	3602854818/228-341
1	909822872/1-110
1	2737456105/359-472
1	1535138241/247-360
1	1707055514/348-453
1	698158980/215-326
1	432918113/446-559
1	137420895/449-559
1	971642874/370-470
1	971642874/452-511
1	34169867/445-546
1	3585364195/445-544
2	6319894033/167-269
2	3466270235/168-274
2	1282591892/167-272
2	983969907/97-203
2	1370953171/166-270
2	226012231/111-216
2	2229402427/87-191
2	3494924720/62-164
2	2737632996/171-275
2	639783872/55-167
2	6162713175/75-179
2	1093228063/8-107
2	3411569120/100-200
2	308894349/197-305
2	4659323193/180-282
2	4659323193/313-350
2	2628353910/169-266
2	981172529/42-149
2	981172529/176-209
2	2760359426/168-269
2	832371748/177-275
2	3564603583/160-268
2	1565493965/16-98
2	594383723/166-268
2	2717058382/171-266
2	1051104187/166-265
2	1213860248/12-116
2	5788791927/162-263
2	2790283172/1-89
2	6120117963/93-199
2	3516149989/63-164
2	4649565875/162-264
2	1158057846/60-159
2	1823002936/71-175
2	274325737/197-305
2	2955516542/30-132
2	19864807/105-190
2	667122210/162-259
2	3293804162/202-297
2	414470391/211-317
2	1143014191/172-244
2	3384687553/851-908
2	3384687553/2033-2102
2	38133128/97-190
2	2624087681/694-801
2	2929797925/161-257
2	5981983247/79-147
2	3497059936/105-202
2	2544876953/320-412
2	1317524612/332-437
2	1317524612/679-751
2	93196507/107-170
2	3336363422/168-239
2	919648257/165-232
2	852732457/18-122
2	2715583587/193-294
2	2729963214/152-246
2	1637356337/168-224
2	4538262659/39-118
2	288458317/450-531
2	4517951185/177-265
2	519869972/527-631
2	519869972/873-944
2	3625983382/164-261
2	2225692265/53-150
2	595958172/518-593
2	595958172/863-937
2	1710581050/525-627
2	1710581050/870-943
2	1349890819/146-241
2	576582159/225-325
2	1067445807/175-241
2	892037182/178-259
2	1445139021/169-242
2	1550475796/58-138
2	217686164/19-73
2	6074951463/175-249
2	3339598630/28-97
2	1635417762/56-146
2	1356476163/118-224
2	1356476163/419-449
2	1356476163/465-545
2	1812120533/1-89
2	2708415945/180-249
2	2708415945/281-341
2	1225378075/22-100
2	782514675/82-149
2	2755321239/96-193
2	263230635/172-269
2	3338168971/149-203
2	6156444121/157-211
2	862800910/176-296
2	862800910/273-309
2	4551039341/84-142
2	4551039341/163-180
2	4701645439/172-228
2	1156378355/676-771
2	3384687553/607-705
2	1061794281/47-133
2	1072467898/110-206
2	6255608403/82-147
2	1438961184/169-257
2	2713204418/395-494
2	2713204418/739-814
2	3228374625/91-162
2	1147647848/520-621
2	1147647848/864-938
2	304067373/175-243
2	2632102746/428-529
2	2632102746/733-771
2	2632102746/779-856
2	851226663/171-267
2	462605755/280-341
2	1599371042/178-236
2	1599371042/253-283
2	3277884106/169-274
2	2041711666/155-225
2	1159369074/81-183
2	137550054/164-229
2	137550054/245-271
2	6207366951/134-185
2	5891996957/125-229
2	1273039597/541-645
2	1273039597/887-957
2	3332449775/163-240
2	2595226026/180-275
2	114224955/186-263
2	6209942393/59-105
2	6209942393/136-198
2	1546196442/90-161
2	1218837520/443-528
2	1218837520/744-777
2	1218837520/790-866
2	635727473/177-247
2	4511074213/159-247
2	1082643213/15-114
2	1546729913/521-619
2	1329635880/174-243
2	2528644288/146-253
2	3380614686/171-237
2	710122508/63-146
2	2382566979/145-218
2	3571704552/487-572
2	3571704552/563-617
2	31679276/360-438
2	1546570134/158-252
2	1074518809/111-213
2	5605640927/31-135
2	2225692265/313-369
2	1225524556/128-190
2	1814953751/96-193
2	1814953751/444-540
2	2432841382/545-627
2	2432841382/888-926
2	3384390663/731-802
2	3384390663/803-842
2	1377246549/493-599
2	6329245385/119-189
2	798440699/105-177
2	1088024235/154-253
2	3293033987/104-175
2	406885757/190-262
2	4454641265/257-331
2	421602933/13-114
2	3384598589/429-517
2	2781043956/161-265
2	1569164633/198-273
2	671088610/601-706
2	2551428627/123-196
2	1212031832/163-237
2	3706970307/94-155
2	3603866310/6-51
2	948816532/181-299
2	3602473299/9-115
2	414458588/101-174
2	1765783133/201-265
2	3271282980/527-629
2	529722419/160-234
2	3873758273/474-591
2	3873758273/615-663
2	1312532772/213-287
2	3323424366/32-66
2	3323424366/78-151
2	55983352/473-531
2	498169195/178-282
2	2509683312/204-274
2	2509683312/269-303
2	31679276/17-120
2	2074459888/149-247
2	2074459888/255-292
2	2831639180/110-172
2	1168854243/380-447
3	1317524612/213-751
3	519869972/408-945
3	1710581050/405-942
3	1356476163/1-539
3	595958172/397-935
3	1147647848/399-938
3	1218837520/290-317
3	1218837520/318-864
3	2632102746/276-308
3	2632102746/307-853
3	2432841382/425-933
3	1273039597/416-959
3	2713204418/222-252
3	2713204418/274-811
3	1814953751/1-517
3	1814953751/525-660
3	2528644288/1-144
3	2528644288/134-425
3	3271282980/408-775
3	4454641265/3-330
3	1136914001
3	3085394386/399-731
3	671088610/482-814
3	710122508/1-357
3	2382566979/1-218
3	6352278291
3	3981947695
3	3602473299/1-111
3	3602473299/104-299
3	1292529990/18-274
3	1546729913/403-674
3	31679276/1-239
3	2551428627/1-196
3	2655245214/1-203
3	3293033987
3	798440699/1-178
3	3575424433/409-632
3	1168854243/262-508
3	1168854243/504-629
3	414458588/1-78
3	414458588/60-174
3	3330739466
3	5605640927/1-153
3	3323424366/15-151
3	6329245385
3	3317899053/126-322
3	3411319566/57-224
3	793858218/87-195
3	2788198865
3	208016517/129-237
3	2637622244/2-102
3	3308629554/1-70
3	3308629554/77-213
3	5696904757/272-385
3	1814953751/789-825
3	1814953751/856-975
3	31679276/358-436
3	1094265822/102-210
3	1149681063/142-257
3	1168854243/1-158
3	2173344081
3	3575424433/2-142
3	5943083981/1-123
3	3251545609/487-616
3	3251545609/693-731
3	3251545609/840-889
3	2432841382/7-142
3	519869972/1-126
3	3271282980/1-126
3	3085394386/1-124
3	1710581050/1-122
3	2632102746/1-136
3	1218837520/2-137
3	1273039597/1-122
3	2682885951/1-128
3	2575800455/1-120
3	595958172/1-121
3	3346395080/11-139
3	1147647848/1-128
3	1174648415/1-121
3	4593679565/1-126
3	1546729913/1-126
3	2624458287
3	113775869/189-240
3	671088610/113-208
3	2729963214/140-223
3	1061794281/2-89
3	2955516542/5-103
3	2955516542/65-138
3	3251545609/6-124
3	6209942393/51-198
3	462605755/222-327
3	3228374625/90-246
3	3603866310/1-51
3	5945416711/1-76
3	5945416711/80-143
3	5945416711/163-251
3	1225378075/2-92
3	3293804162/203-303
3	782514675/79-145
3	1349890819/144-214
3	6207366951/80-184
3	1329635880/175-238
3	4538262659/44-104
3	288458317/451-512
4	1814953751/178-297
4	1814953751/540-664
4	5943083981/1-127
4	1273039597/1-129
4	519869972/6-133
4	3085394386/1-125
4	3271282980/6-135
4	2575800455/1-126
4	2432841382/23-150
4	1710581050/3-130
4	4593679565/1-130
4	3575424433/14-141
4	2632102746/4-135
4	1218837520/11-144
4	3346395080/19-144
4	2682885951/1-128
4	595958172/1-127
4	1147647848/1-128
4	1546729913/1-125
4	1174648415/1-128
4	1710581050/611-730
4	1317524612/420-539
4	3271282980/614-733
4	519869972/614-733
4	2432841382/631-750
4	31679276/104-223
4	1136914001/175-294
4	1292529990/81-200
4	3085394386/610-728
4	3602473299/122-240
4	671088610/690-809
4	1168854243/11-136
4	3308629554/92-218
4	6352278291/1-117
4	1147647848/607-727
4	2528644288/235-353
4	2624458287
4	1356476163/25-57
4	1356476163/208-326
4	1218837520/531-653
4	1273039597/627-746
4	2632102746/520-640
4	595958172/605-722
4	4454641265/6-117
4	3411319566/126-224
4	671088610/113-209
4	2713204418/480-599
4	710122508/148-265
4	3251545609/1-126
4	3317899053/220-321
4	1168854243/459-511
4	1168854243/501-550
4	1546729913/612-674
4	2637622244/1-70
4	3981947695/1-51
4	793858218/87-131
4	910426170/57-127
4	5605640927/120-151
4	208016517/129-160
5	2644887350/182-293
5	1502994440/163-274
5	1400173052/93-205
5	4624600631/183-294
5	3306961767/140-252
5	2534129427/179-291
5	1597924280/96-207
5	3372848347/204-316
5	5678006735/1-104
5	1440518722/14-126
5	5994436453/46-157
5	4479617087/1-107
5	1448933630/192-297
5	1042331072/26-141
5	1481149691/212-324
5	1290181199/182-293
5	5999576351/61-170
5	297559721/44-70
5	297559721/119-224
5	2604370718/28-104
5	165703806/351-457
5	5787695925/138-245
5	1136424594/320-427
5	3311106053/7-119
5	932271475/3-60
5	2769343942/289-388
5	779187016/1-52
5	3144419318/226-355
5	6169014957/222-329
5	3424549348/93-144
6	1049996054/652-775
6	829213905/687-815
6	291382574/648-770
6	2527519717/643-764
6	846600502/646-771
6	1710327792/790-914
6	777849012/118-221
6	2660815405/37-136
6	3446543680/12-111
6	3377095818/53-155
6	1548659120/208-300
6	3380448159/710-790
6	2735294152/539-636
6	3867977857/751-851
7	2957363146/94-272
7	2957363146/296-332
7	916618115/248-425
