1572769306_1_100	1572769306_1_100
1019009261_1_326	1019009261_1_326
2589962141_1_109	2589962141_1_109
1361484738_400_645	1361484738_400_645
2651328164_345_489	2651328164_345_489
3294131207_1_227	3294131207_1_227
908819154_1_113	908819154_1_113
1314408357_1_144	1314408357_1_144
1132976024_53_175	1132976024_53_175
3674817705_280_476	3674817705_280_476
1020984088_1_107	1020984088_1_107
4688788863_1_121	4688788863_1_121
1571949754_149_286	1571949754_149_286
3386688235_58_259	3386688235_58_259
611113698_1_164	611113698_1_164
3262252179_35_214	3262252179_35_214
957876301_372_509	957876301_372_509
1752122073_1_135	1752122073_1_135
230741247_1_969	230741247_1_969
1095291968_445_670	1095291968_445_670
1586010152_146_453	1586010152_146_453
5989408021_1_162	5989408021_1_162
3320993867_56_155	3320993867_56_155
3163457573_1_292	3163457573_1_292
965575545_105_415	965575545_105_415
2655269932_1_188	2655269932_1_188
6093092755_312_1035	6093092755_312_1035
6066018295_366_512	6066018295_366_512
179827617_205_345	179827617_205_345
822176149_1_324	822176149_1_324
437792006_208_337	437792006_208_337
1155795169_67_210	1155795169_67_210
1264916372_249_360	1264916372_249_360
114945630_1_441	114945630_1_441
1493233864_1_179	1493233864_1_179
976909941_1_121	976909941_1_121
1053185323_1_667	1053185323_1_667
2336228924_163_375	2336228924_163_375
2636120127_1_130	2636120127_1_130
5626296211_1_121	5626296211_1_121
1596353649_187_308	1596353649_187_308
2622034979_70_170	2622034979_70_170
641848086_136_237	641848086_136_237
2868877232_72_207	2868877232_72_207
763752644_1_220	763752644_1_220
2478598680_1_314	2478598680_1_314
5839309903_1_149	5839309903_1_149
1290964265_1_153	1290964265_1_153
937949650_1_115	937949650_1_115
1074902905_1_107	1074902905_1_107
1596655002_1_785	1596655002_1_785
3373524312_99_788	3373524312_99_788
3289949222_1_1006	3289949222_1_1006
1030814841_1_242	1030814841_1_242
951747735_277_1551	951747735_277_1551
6916145009	6916145009
7091598235	7091598235
7072208069	7072208069
6914390719	6914390719
7127701062	7127701062
7057699180	7057699180
7082100962	7082100962
6879931939	6879931939
6949492695	6949492695
7123632258	7123632258
6947915712	6947915712
7040921802	7040921802
6961850823	6961850823
6876544672	6876544672
7013797160	7013797160
7094115399	7094115399
7024247815	7024247815
7086853262	7086853262
6933661241	6933661241
6926935287	6926935287
6983403013	6983403013
7053251801	7053251801
7134665244	7134665244
6961790780	6961790780
6906031136	6906031136
6968213968	6968213968
2804713230	2804713230
6991330377	6991330377
6972565746	6972565746
7015054291	7015054291
7006801442	7006801442
7131655047	7131655047
7029163022	7029163022
1861533040	1861533040
6903422910	6903422910
6906512937	6906512937
7069344066	7069344066
6995587047	6995587047
7100288191	7100288191
6928087249	6928087249
7117461494	7117461494
6906609852	6906609852
6938882488	6938882488
7083341256	7083341256
2518522040_1_102	2518522040_1_102
1216763310_199_403	1216763310_199_403
4528482531_1_342	4528482531_1_342
175559093_1_127	175559093_1_127
1272747118	1272747118
887149437_421_541	887149437_421_541
984967049_405_524	984967049_405_524
869502467_125_451	869502467_125_451
29373281_373_477	29373281_373_477
5982888915_117_229	5982888915_117_229
849828696_1_118	849828696_1_118
850247075	850247075
1144345949_1_133	1144345949_1_133
2760230681_1_149	2760230681_1_149
894536927_200_383	894536927_200_383
5864582019_144_328	5864582019_144_328
1121295370_1_164	1121295370_1_164
534410242_1_103	534410242_1_103
428199113_437_598	428199113_437_598
1429206511_234_368	1429206511_234_368
373627541_67_195	373627541_67_195
2040336007_1_108	2040336007_1_108
6112430273	6112430273
1322986778_1_126	1322986778_1_126
981664440_1_144	981664440_1_144
2478644042_331_474	2478644042_331_474
4611307913_323_496	4611307913_323_496
3398394016_1_106	3398394016_1_106
1619969515_153_301	1619969515_153_301
3507252272_125_239	3507252272_125_239
1767270498_1_118	1767270498_1_118
3561660624_66_588	3561660624_66_588
1790150992_156_469	1790150992_156_469
152287232_143_308	152287232_143_308
3251181069_1_195	3251181069_1_195
6172244363_260_455	6172244363_260_455
1481416916_1_148	1481416916_1_148
220623543	220623543
6317402395_1_127	6317402395_1_127
2153773952_1_106	2153773952_1_106
959954587_1580_1846	959954587_1580_1846
