ids,labels,parents,counts
root,root,,43
root:Host-associated,Host-associated,root,15
root:Environmental:Aquatic,Aquatic,root:Environmental,14
root:Environmental,Environmental,root,14
root:Host-associated:Human:Digestive system,Digestive system,root:Host-associated:Human,12
root:Environmental:Aquatic:Marine,Marine,root:Environmental:Aquatic,12
root:Host-associated:Human,Human,root:Host-associated,12
root:Engineered,Engineered,root,11
root:Engineered:Wastewater,Wastewater,root:Engineered,8
root:Host-associated:Human:Digestive system:Large intestine,Large intestine,root:Host-associated:Human:Digestive system,8
root:Environmental:Aquatic:Marine:Oceanic,Oceanic,root:Environmental:Aquatic:Marine,7
root:Host-associated:Human:Digestive system:Large intestine:Fecal,Fecal,root:Host-associated:Human:Digestive system:Large intestine,6
root:Engineered:Wastewater:Activated Sludge,Activated Sludge,root:Engineered:Wastewater,4
root:Mixed,Mixed,root,3
root:Engineered:Wastewater:Water and sludge,Water and sludge,root:Engineered:Wastewater,2
root:Environmental:Aquatic:Estuary:Sediment,Sediment,root:Environmental:Aquatic:Estuary,2
root:Environmental:Aquatic:Estuary,Estuary,root:Environmental:Aquatic,2
root:Host-associated:Mammals,Mammals,root:Host-associated,2
root:Host-associated:Mammals:Digestive system,Digestive system,root:Host-associated:Mammals,2
root:Engineered:Bioreactor,Bioreactor,root:Engineered,1
root:Host-associated:Plants:Rhizosphere,Rhizosphere,root:Host-associated:Plants,1
root:Host-associated:Mammals:Digestive system:Foregut,Foregut,root:Host-associated:Mammals:Digestive system,1
root:Host-associated:Plants,Plants,root:Host-associated,1
root:Environmental:Aquatic:Marine:Intertidal zone:Estuary,Estuary,root:Environmental:Aquatic:Marine:Intertidal zone,1
root:Environmental:Aquatic:Marine:Oceanic:Aphotic zone,Aphotic zone,root:Environmental:Aquatic:Marine:Oceanic,1
root:Environmental:Aquatic:Marine:Intertidal zone,Intertidal zone,root:Environmental:Aquatic:Marine,1
root:Engineered:Bioremediation:Terephthalate:Wastewater,Wastewater,root:Engineered:Bioremediation:Terephthalate,1
root:Engineered:Bioremediation:Terephthalate,Terephthalate,root:Engineered:Bioremediation,1
root:Engineered:Bioremediation,Bioremediation,root:Engineered,1
root:Host-associated:Mammals:Digestive system:Foregut:Rumen,Rumen,root:Host-associated:Mammals:Digestive system:Foregut,1
